Final area = 2.12925e+06
Black area = 1.85608e+06

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb127 (538.444,2466.81) (595.233,2485.74)
sb107 (489.664,2194.95) (527.612,2207.6)
sb242 (95.8541,420.551) (112.102,474.711)
sb63 (239.803,1121.78) (310.287,1145.28)
sb167 (95.8541,353.048) (159.068,374.12)
sb211 (538.444,2525.36) (562.444,2533.36)
sb59 (457.038,2019.02) (530.236,2043.42)
sb142 (572.988,2597.08) (627.733,2615.33)
sb114 (489.664,2233.82) (556.657,2256.15)
sb51 (183.764,740.699) (209.687,749.34)
sb175 (599.628,2909.18) (626.461,2918.13)
sb128 (633.784,3067.03) (668.884,3102.13)
sb104 (456.666,2116.97) (498.666,2130.97)
sb39 (226.191,1036.37) (238.681,1048.86)
sb179 (599.628,2933.94) (668.126,2956.77)
sb125 (517.111,2416.7) (593.242,2442.08)
sb99 (538.444,2442.08) (583.61,2457.13)
sb140 (183.764,749.34) (223.109,762.455)
sb184 (416.184,1803.54) (474.921,1823.11)
sb270 (535.096,2261.85) (567.267,2272.57)
sb112 (599.628,2918.13) (647.062,2933.94)
sb269 (379.082,1525.37) (423.781,1540.27)
sb169 (456.666,2136.02) (509.656,2153.68)
sb28 (471.891,2260.45) (488.861,2277.42)
sb194 (668.884,3067.3) (679.334,3102.13)
sb135 (209.232,1059.77) (254.232,1074.77)
sb244 (37.4588,44.5461) (75.4457,57.2083)
sb110 (572.988,2554.43) (643.088,2577.79)
sb255 (357.642,1312.5) (431.797,1337.22)
sb198 (305.335,1312.5) (357.642,1329.94)
sb41 (95.8541,315.178) (141.153,330.278)
sb162 (127.419,629.223) (168.334,642.861)
sb66 (435.872,1947.87) (511.171,1972.97)
sb49 (77.2638,219.398) (95.8541,281.366)
sb8 (112.102,538.749) (159.726,554.624)
sb170 (183.764,789.271) (246.334,810.128)
sb97 (112.102,579.724) (154.529,593.866)
sb233 (183.764,824.55) (208.744,832.876)
sb273 (95.8541,403.001) (139.328,417.493)
sb153 (470.557,2096.73) (531.302,2116.97)
sb286 (448.196,1421.01) (514.739,1443.19)
sb166 (572.988,2633.33) (633.585,2653.53)
sb137 (450.831,1605.38) (492.831,1619.38)
sb31 (619.38,2809.27) (678.168,2828.87)
sb143 (183.764,1034.71) (226.191,1048.86)
sb251 (305.335,1258.96) (371.562,1281.04)
sb53 (505.727,2370.81) (517.111,2408.76)
sb48 (305.335,1281.04) (358.777,1298.85)
sb21 (95.8541,294.913) (156.649,315.178)
sb123 (538.444,2581.73) (554.205,2634.27)
sb17 (112.102,642.861) (179.563,665.348)
sb134 (489.664,2210.74) (558.903,2233.82)
sb219 (183.764,832.876) (222.649,845.838)
sb161 (183.764,1117.27) (209.232,1202.16)
sb193 (583.38,2690.5) (624.404,2704.18)
sb230 (183.764,952.868) (238.262,971.033)
sb95 (455.661,1729.09) (525.546,1752.39)
sb147 (435.872,1972.97) (497.353,1993.46)
sb0 (534.961,2158.21) (545.984,2194.95)
sb34 (95.8541,330.278) (128.165,341.048)
sb190 (25.2246,124.345) (42.5365,182.052)
sb239 (266.63,1221.13) (282.878,1275.29)
sb177 (627.912,2870.23) (666.861,2909.18)
sb139 (572.988,2533.36) (636.202,2554.43)
sb202 (266.63,1200.11) (329.702,1221.13)
sb20 (435.872,1993.46) (461.62,2002.05)
sb54 (379.082,1653.95) (434.399,1672.39)
sb91 (195.1,687.424) (247.148,704.773)
sb132 (538.444,2533.36) (552.956,2581.73)
sb185 (580.04,2389.83) (632.518,2407.32)
sb274 (435.872,1906.35) (481.468,1921.54)
sb258 (238.262,952.868) (305.254,975.198)
sb284 (183.764,850.625) (227.238,865.116)
sb186 (619.886,3021.27) (675.285,3039.73)
sb157 (435.872,1921.54) (474.601,1934.45)
sb298 (358.023,1395.39) (420.952,1416.36)
sb130 (585.815,2509.23) (634.188,2525.36)
sb253 (583.38,2671.28) (607.567,2679.34)
sb192 (95.8541,260.963) (160.476,282.504)
sb149 (156.649,283.022) (188.805,315.178)
sb120 (56.4792,80.1866) (118.833,100.971)
sb133 (112.102,665.348) (126.013,711.716)
sb148 (572.988,2653.53) (583.38,2688.17)
sb256 (305.335,1337.22) (333.953,1346.76)
sb76 (56.4792,131.749) (121.379,153.382)
sb158 (555.696,2595.97) (572.988,2613.26)
sb281 (623.909,3102.13) (647.147,3125.37)
sb159 (583.38,2787.61) (648.372,2809.27)
sb203 (238.681,1037.02) (274.177,1048.86)
sb181 (619.886,2956.77) (670.086,2973.5)
sb10 (95.8541,374.12) (133.204,386.57)
sb75 (282.878,1221.13) (297.778,1270.8)
sb217 (583.38,2724.21) (637.046,2742.1)
sb223 (138.281,221.736) (173.692,233.54)
sb178 (583.38,2653.53) (614.509,2663.91)
sb69 (572.988,2615.33) (626.988,2633.33)
sb85 (177.101,665.348) (243.328,687.424)
sb65 (273.407,1275.29) (282.878,1306.86)
sb234 (456.666,2153.68) (470.015,2198.18)
sb83 (517.111,2442.08) (538.444,2513.19)
sb282 (517.111,2389.83) (580.04,2410.8)
sb124 (517.111,2370.81) (574.164,2389.83)
sb150 (505.727,2355.39) (551.976,2370.81)
sb236 (183.764,975.198) (216.214,1007.65)
sb6 (277.647,1004) (333.127,1022.49)
sb248 (560.059,2293.07) (623.297,2314.15)
sb122 (489.664,2293.07) (505.727,2346.61)
sb86 (379.082,1595.47) (450.831,1619.38)
sb118 (556.657,2233.82) (627.481,2257.43)
sb23 (444.48,2079.58) (470.557,2105.66)
sb106 (545.984,2158.78) (580.451,2170.27)
sb105 (470.015,2153.68) (528.879,2173.3)
sb213 (435.872,2019.02) (457.038,2040.18)
sb212 (470.557,2079.58) (521.996,2096.73)
sb117 (112.102,522.227) (161.67,538.749)
sb291 (583.38,2704.18) (643.48,2724.21)
sb82 (435.872,1888.68) (488.862,1906.35)
sb249 (112.102,443.576) (165.347,461.325)
sb151 (405.243,1762.59) (452.867,1778.46)
sb73 (379.082,1729.09) (391.95,1771.99)
sb207 (379.082,1711.54) (431.732,1729.09)
sb250 (112.102,610.479) (168.334,629.223)
sb94 (391.95,1762.59) (405.243,1806.89)
sb294 (305.335,1234.17) (341.749,1246.31)
sb204 (391.95,1729.09) (455.661,1750.33)
sb36 (95.8541,386.57) (145.149,403.001)
sb163 (505.727,2314.15) (552.396,2329.7)
sb200 (126.013,687.424) (195.1,710.453)
sb191 (621.009,3059.55) (633.784,3102.13)
sb70 (379.082,1565.65) (425.558,1581.14)
sb267 (192.601,501.203) (255.672,522.227)
sb37 (37.4588,33.7757) (69.7698,44.5461)
sb229 (434.073,1479.51) (492.861,1499.1)
sb180 (599.628,2956.77) (614.728,3007.1)
sb293 (239.803,1182.45) (255.459,1234.63)
sb196 (282.878,1270.8) (305.335,1345.66)
sb174 (489.664,2257.43) (535.096,2272.57)
sb283 (239.803,1145.28) (263.99,1153.34)
sb263 (223.929,1094.94) (304.464,1121.78)
sb260 (239.803,1153.34) (265.957,1162.06)
sb156 (183.764,1022.49) (220.425,1034.71)
sb195 (183.764,925.056) (219.639,937.014)
sb22 (183.764,906.662) (238.946,925.056)
sb228 (235.203,893.122) (270.7,904.954)
sb225 (183.764,865.116) (256.963,889.516)
sb60 (183.764,810.128) (227.031,824.55)
sb26 (246.334,797.4) (284.518,810.128)
sb61 (245.099,767.707) (309.791,789.271)
sb290 (435.872,1934.45) (471.872,1946.45)
sb111 (218.529,704.773) (247.148,714.313)
sb5 (150.05,421.425) (185.377,433.2)
sb231 (112.102,420.551) (150.05,433.2)
sb93 (305.335,1246.31) (343.282,1258.96)
sb154 (583.38,2679.34) (616.876,2690.5)
sb24 (95.8541,341.048) (131.854,353.048)
sb67 (95.8541,282.504) (133.083,294.913)
sb278 (64.4654,288.68) (77.2638,331.342)
sb32 (56.4792,119.945) (91.8911,131.749)
sb101 (56.4792,100.971) (113.4,119.945)
sb13 (25.2246,57.2083) (94.1594,80.1866)
sb266 (367.698,1416.36) (448.196,1443.19)
