Final area = 389995
Black area = 116825

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb253 (51.8462,3443.69) (65.8105,3457.66)
sb20 (42.9519,2562.91) (68.7007,2571.49)
sb55 (0,32.249) (15.5499,84.0821)
sb173 (18.1376,3665.77) (67.1274,3682.1)
sb117 (46.3472,616.322) (74.9654,644.94)
sb256 (71.166,1633.76) (99.7842,1643.3)
sb116 (87.06,2812.43) (99.6933,2854.54)
sb182 (18.1376,3704.93) (75.0586,3723.91)
sb120 (15.6748,96.2819) (51.6748,132.282)
sb68 (15.7306,2078.26) (77.2123,2098.76)
sb214 (15.7306,2098.76) (52.8385,2111.13)
sb39 (51.9383,1225.28) (73.5716,1232.49)
sb126 (52.2271,3160.34) (80.3696,3169.72)
sb133 (15.7306,754.649) (59.7192,769.312)
sb192 (15.7306,322.917) (80.3525,344.458)
sb113 (15.7306,846.912) (45.1244,876.306)
sb110 (30.2426,3289.02) (100.343,3312.39)
sb84 (15.7306,2386.48) (77.9881,2407.23)
sb45 (68.7007,2547) (93.1956,2571.49)
sb271 (34.3209,1914.74) (51.7105,1972.7)
sb136 (15.7306,3157.56) (52.2271,3169.72)
sb250 (15.7306,644.94) (33.5126,704.213)
sb28 (15.7306,2832.63) (32.7011,2849.6)
sb13 (32.0425,0) (100.977,22.9783)
sb5 (15.7306,472.464) (51.0576,484.24)
sb199 (40.9456,3312.39) (98.8075,3331.68)
sb95 (15.7306,2256.06) (85.6162,2279.35)
sb269 (51.7105,1929.07) (96.4095,1943.97)
sb143 (51.9383,1211.14) (94.3647,1225.28)
sb288 (15.7306,1112.22) (47.4796,1143.97)
sb44 (15.6748,59.06) (41.1307,84.5158)
sb218 (15.7306,3208.67) (59.7192,3223.34)
sb115 (38.127,2854.54) (85.4979,2870.33)
sb98 (15.7306,2583.71) (27.4139,2622.66)
sb170 (51.1424,955.785) (87.2672,991.909)
sb241 (91.2534,1754.39) (100.928,1786.64)
sb34 (15.7306,409.004) (48.0415,419.775)
sb191 (18.5753,3778.63) (31.3502,3821.21)
sb268 (76.1699,1088.77) (99.622,1112.22)
sb259 (43.1167,3626.59) (73.7108,3636.79)
sb231 (52.9596,474.741) (74.8685,496.65)
sb187 (18.1376,3757.27) (82.2001,3778.63)
sb92 (54.9216,1704.32) (100.911,1750.31)
sb251 (15.7306,1568.06) (81.9574,1590.14)
sb225 (43.8349,1009) (86.096,1051.26)
sb185 (83.5579,2966.35) (100.153,3021.66)
sb169 (38.1782,2660.11) (68.7723,2690.7)
sb52 (18.1376,3742.37) (62.8366,3757.27)
sb265 (86.7235,799.478) (100.954,846.912)
sb17 (33.5126,668.562) (100.974,691.049)
sb125 (15.7306,3132.18) (91.862,3157.56)
sb266 (15.7306,1786.64) (62.2064,1833.11)
sb19 (15.7306,572.847) (31.4913,625.383)
sb70 (34.3209,1865.75) (49.0178,1914.74)
sb148 (78.5144,3385.18) (97.4881,3404.15)
sb62 (29.587,3223.34) (100.071,3246.83)
sb77 (15.7306,1313) (42.5634,1339.84)
sb159 (35.9898,3515.94) (100.982,3537.6)
sb285 (15.7306,1853.79) (51.6053,1865.75)
sb172 (27.9166,2645.05) (38.1782,2679.26)
sb291 (65.8105,3424.35) (100.509,3459.05)
sb177 (15.7306,3584.51) (83.1917,3606.99)
sb31 (31.2225,3606.99) (90.0102,3626.59)
sb88 (62.3755,2424.9) (98.0966,2460.62)
sb146 (27.4139,2583.71) (96.3486,2606.69)
sb227 (78.8804,1489.93) (99.2765,1510.33)
sb166 (33.7028,3404.15) (94.2998,3424.35)
sb207 (15.7306,2145.91) (68.3803,2163.46)
sb82 (48.1148,2407.23) (101.105,2424.9)
sb232 (15.7306,2060.32) (69.5636,2078.26)
sb121 (15.7306,497.448) (77.9881,518.201)
sb179 (18.1376,3682.1) (86.6358,3704.93)
sb38 (15.7306,2340.01) (50.3282,2351.54)
sb293 (30.6302,1458.15) (46.2859,1510.33)
sb123 (43.0801,3246.83) (71.8551,3275.61)
sb247 (15.7306,1264.52) (80.6305,1286.16)
sb139 (15.7306,3351.48) (78.9445,3372.55)
sb153 (15.7306,2690.7) (76.4759,2710.95)
sb4 (15.7306,730.154) (89.2152,754.649)
sb183 (15.7306,2796.76) (51.6053,2832.63)
sb64 (15.7306,2645.05) (27.9166,2685.67)
sb29 (49.8855,691.049) (100.974,708.078)
