Final area = 347983
Black area = 74812.9

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb213 (153.695,787.46) (165.288,826.103)
sb240 (260.228,333.579) (281.132,354.483)
sb290 (247.757,774.304) (283.757,786.304)
sb177 (148.74,1139.38) (216.201,1161.86)
sb190 (210.243,22.041) (241.85,53.648)
sb8 (254.749,215.806) (282.245,243.301)
sb211 (270.757,1008.21) (284.613,1022.07)
sb132 (255.121,958.276) (269.633,1006.65)
sb68 (157.117,558.344) (218.598,578.838)
sb199 (65.3593,1025.41) (123.221,1044.69)
sb170 (115.793,335.55) (151.918,371.675)
sb18 (54.9237,22.9783) (130.263,48.0913)
sb248 (136.14,937.56) (172.651,974.07)
sb72 (178.8,1200.37) (200.709,1222.28)
sb194 (216.201,1066.03) (249.246,1077.05)
sb298 (116.274,548.206) (136.174,614.538)
sb268 (12.0125,397.98) (52.6327,411.52)
sb52 (216.201,1034.05) (242.008,1059.86)
sb210 (186.403,800.304) (196.077,832.553)
sb83 (187.409,893.95) (226.357,932.898)
sb9 (225.417,623.471) (282.863,642.62)
sb203 (217.89,342.651) (253.387,354.483)
sb75 (43.519,548.206) (70.7219,575.409)
sb288 (234.93,267.085) (266.679,298.834)
sb159 (183.725,1070.87) (204.278,1139.38)
sb64 (178.145,853.97) (216.68,866.815)
sb167 (80.033,140.066) (100.023,206.699)
sb42 (209.423,468.622) (268.16,488.201)
sb141 (54.9237,48.0913) (105.569,64.9733)
sb74 (136.174,548.206) (157.117,618.015)
sb4 (170.202,175.557) (193.44,253.016)
sb188 (196.014,190.557) (234.484,229.028)
sb57 (12.0125,110.144) (59.5099,157.641)
sb260 (173.104,400.931) (199.257,409.649)
sb100 (128.153,893.063) (172.651,937.56)
sb191 (243.224,1185.98) (283.622,1199.45)
sb278 (39.5608,214.547) (80.033,228.038)
sb23 (76.9499,813.675) (103.027,839.752)
sb204 (48.9854,690.298) (85.7686,727.081)
sb127 (198.332,1002.89) (255.121,1021.82)
sb279 (184.192,958.276) (255.121,981.919)
sb106 (272.2,836.237) (283.099,872.569)
sb266 (167.083,592.549) (247.581,619.382)
sb179 (216.201,1199.45) (284.699,1222.28)
sb145 (173.155,800.304) (186.403,844.463)
sb244 (0,0) (12.0125,40.0416)
sb1 (113.896,826.103) (134.68,846.888)
sb143 (171.314,285.578) (184.731,330.3)
sb292 (69.782,486.271) (122.773,503.935)
sb11 (45.3603,762.889) (99.6927,780.999)
sb115 (268.119,786.304) (283.099,836.237)
sb58 (131.025,48.5472) (156.025,73.5472)
sb88 (166.458,735.308) (202.179,771.029)
sb264 (12.0125,634.874) (29.6335,693.61)
sb105 (234.134,786.999) (268.119,820.985)
sb233 (146.334,389.654) (171.314,397.98)
sb131 (179.484,108.328) (225.96,154.804)
sb222 (136.546,265.761) (165.701,294.915)
sb146 (113.896,786.304) (153.695,826.103)
sb6 (171.314,267.085) (226.794,285.578)
sb39 (253.387,331.68) (260.228,354.483)
sb152 (253.059,899.594) (283.259,909.66)
sb175 (200.709,1206.79) (216.201,1222.28)
sb270 (93.1236,903.553) (103.297,937.465)
sb136 (172.651,958.276) (184.192,996.746)
sb34 (40.9822,228.038) (59.6369,246.692)
sb113 (117.009,294.915) (167.92,311.886)
sb202 (14.5242,543.477) (34.4691,609.96)
