IterationNo,Temperature, Moves, CurrentCost, DeltaCost
1,25000.000000,500.000000,6171563.960297,-329.863214
2,25000.000000,510.000000,6171234.097083,-46465.395717
3,25000.000000,520.000000,6124768.701366,-1848.751546
4,25000.000000,530.000000,6122919.949820,856.578834
5,25000.000000,530.000000,6123776.528655,-1331.463204
6,25000.000000,540.000000,6122445.065450,413.515653
7,25000.000000,540.000000,6122858.581103,-648.518073
8,25000.000000,550.000000,6122210.063031,-1357.490934
9,25000.000000,560.000000,6120852.572096,-26080.384628
10,25000.000000,570.000000,6094772.187469,-30798.459501
11,25000.000000,580.000000,6063973.727967,-33319.378872
13,25000.000000,590.000000,6030654.349096,-27848.713352
14,25000.000000,600.000000,6002805.635743,-31679.332499
15,25000.000000,610.000000,5971126.303244,2632.345148
16,25000.000000,610.000000,5973758.648392,-2854.176938
17,25000.000000,620.000000,5970904.471454,2148.796263
19,25000.000000,620.000000,5973053.267717,681.501774
20,25000.000000,620.000000,5973734.769492,1387.985182
21,25000.000000,620.000000,5975122.754673,597.003865
22,25000.000000,620.000000,5975719.758538,-209.532410
23,25000.000000,630.000000,5975510.226128,-1925.548548
24,25000.000000,640.000000,5973584.677580,-2315.988690
25,25000.000000,650.000000,5971268.688891,301.015705
26,25000.000000,650.000000,5971569.704596,2473.188380
27,25000.000000,650.000000,5974042.892976,-1084.734132
28,25000.000000,660.000000,5972958.158844,1191.268045
29,25000.000000,660.000000,5974149.426889,0.000000
30,25000.000000,650.000000,5974149.426889,1858.036636
31,25000.000000,650.000000,5976007.463525,-990.571128
32,25000.000000,660.000000,5975016.892397,1315.170899
33,25000.000000,660.000000,5976332.063296,-37196.847420
34,25000.000000,670.000000,5939135.215876,-32021.511246
35,25000.000000,680.000000,5907113.704630,-412.199457
36,25000.000000,690.000000,5906701.505173,-28987.433238
37,25000.000000,700.000000,5877714.071935,369.969696
38,25000.000000,700.000000,5878084.041631,-28636.677321
39,25000.000000,710.000000,5849447.364310,436.115050
40,25000.000000,710.000000,5849883.479360,-139.767530
41,25000.000000,720.000000,5849743.711830,-88.483830
42,25000.000000,730.000000,5849655.228000,-183.775389
43,25000.000000,740.000000,5849471.452611,-34747.312619
44,25000.000000,750.000000,5814724.139992,-856.965578
45,25000.000000,760.000000,5813867.174414,925.091989
46,25000.000000,760.000000,5814792.266403,-1941.159900
47,25000.000000,770.000000,5812851.106503,-23705.305123
48,25000.000000,780.000000,5789145.801380,-269.728599
50,25000.000000,790.000000,5788876.072781,7928.276736
51,25000.000000,790.000000,5796804.349517,-43731.424564
52,25000.000000,800.000000,5753072.924952,-35476.476804
53,25000.000000,810.000000,5717596.448149,-1822.359319
54,25000.000000,820.000000,5715774.088829,-2812.184473
55,25000.000000,830.000000,5712961.904356,1860.282855
56,25000.000000,830.000000,5714822.187211,-2214.539252
57,25000.000000,840.000000,5712607.647959,2553.056743
58,25000.000000,840.000000,5715160.704703,-2582.742440
60,25000.000000,850.000000,5712577.962263,-45833.510005
61,25000.000000,860.000000,5666744.452258,638.457423
62,25000.000000,860.000000,5667382.909681,3068.383118
63,25000.000000,860.000000,5670451.292798,-24844.688666
64,25000.000000,870.000000,5645606.604132,3414.265951
65,25000.000000,870.000000,5649020.870083,818.332797
66,25000.000000,870.000000,5649839.202880,-42953.332699
67,25000.000000,880.000000,5606885.870181,-578.991721
68,25000.000000,890.000000,5606306.878460,-24802.737162
69,25000.000000,900.000000,5581504.141299,-2079.897025
70,25000.000000,910.000000,5579424.244274,-457.999792
71,25000.000000,920.000000,5578966.244482,0.000000
72,25000.000000,910.000000,5578966.244482,-34086.422806
73,25000.000000,920.000000,5544879.821676,-34395.764921
74,25000.000000,930.000000,5510484.056755,-2539.361412
75,25000.000000,940.000000,5507944.695343,2745.932498
76,25000.000000,940.000000,5510690.627840,0.000000
77,25000.000000,930.000000,5510690.627840,-3964.623697
78,25000.000000,940.000000,5506726.004143,-3635.294509
79,25000.000000,950.000000,5503090.709634,3365.595752
81,25000.000000,950.000000,5506456.305385,-772.075581
82,25000.000000,960.000000,5505684.229805,3535.631225
83,25000.000000,960.000000,5509219.861030,-2016.606673
84,25000.000000,970.000000,5507203.254357,-4943.883872
85,25000.000000,980.000000,5502259.370485,-1309.262087
86,25000.000000,990.000000,5500950.108397,-1803.246877
87,25000.000000,1000.000000,5499146.861520,14431.288832
88,25000.000000,1000.000000,5513578.150352,0.000000
89,25000.000000,990.000000,5513578.150352,0.000000
90,25000.000000,980.000000,5513578.150352,-423.736849
91,25000.000000,990.000000,5513154.413503,-21565.633802
92,25000.000000,1000.000000,5491588.779701,669.015586
93,25000.000000,1000.000000,5492257.795287,1624.623344
94,25000.000000,1000.000000,5493882.418630,-25545.512899
95,25000.000000,1000.000000,5468336.905731,-3218.232826
96,25000.000000,1000.000000,5465118.672905,1026.438593
98,25000.000000,1000.000000,5466145.111498,2802.720107
99,25000.000000,1000.000000,5468947.831605,1712.251119
100,25000.000000,1000.000000,5470660.082724,-2741.429041
101,25000.000000,1000.000000,5467918.653684,-169.888050
102,25000.000000,1000.000000,5467748.765633,-862.210984
103,25000.000000,1000.000000,5466886.554649,-723.632174
104,25000.000000,1000.000000,5466162.922475,1822.456307
105,25000.000000,1000.000000,5467985.378782,-34549.980452
106,25000.000000,1000.000000,5433435.398330,1478.513897
107,25000.000000,1000.000000,5434913.912227,0.000000
108,25000.000000,990.000000,5434913.912227,3468.360929
109,25000.000000,990.000000,5438382.273156,0.000000
110,25000.000000,980.000000,5438382.273156,-45226.669873
111,25000.000000,990.000000,5393155.603282,2819.308528
112,25000.000000,990.000000,5395974.911810,-1122.048971
113,25000.000000,1000.000000,5394852.862839,1186.765774
114,25000.000000,1000.000000,5396039.628613,-4983.010242
115,25000.000000,1000.000000,5391056.618371,0.000000
117,25000.000000,990.000000,5391056.618371,0.000000
118,25000.000000,980.000000,5391056.618371,-4311.868236
119,25000.000000,990.000000,5386744.750135,757.492873
120,25000.000000,990.000000,5387502.243007,-1350.034987
121,25000.000000,1000.000000,5386152.208020,-27281.928764
122,25000.000000,1000.000000,5358870.279257,0.000000
123,25000.000000,990.000000,5358870.279257,-4573.268305
124,25000.000000,1000.000000,5354297.010952,-44576.551386
125,25000.000000,1000.000000,5309720.459566,-9940.422805
126,25000.000000,1000.000000,5299780.036761,364.532878
127,25000.000000,1000.000000,5300144.569639,-34343.935196
128,25000.000000,1000.000000,5265800.634443,-4277.699421
129,25000.000000,1000.000000,5261522.935022,-42753.224917
130,25000.000000,1000.000000,5218769.710105,3561.612242
131,25000.000000,1000.000000,5222331.322347,28147.501385
133,25000.000000,1000.000000,5250478.823733,-34492.256699
134,25000.000000,1000.000000,5215986.567033,8952.849960
135,25000.000000,1000.000000,5224939.416994,-4002.415305
